Part Number,Component Number,Jan/2019,Feb/2019,Mar/2019,Apr/2019,May/2019,Jun/2019,Jul/2019,Aug/2019,Sep/2019,Oct/2019,Nov/2019,Dec/2019
A 694 684 77 60,Z 523.093/25,32,29,31,23,24,29,23,24,23,18,30,64
A 694 684 78 60,Z 523.093/25,32,29,31,23,24,29,23,24,23,18,30,64
A 694 684 83 60,Z 523.093/25,32,29,31,23,24,29,23,24,23,18,30,64
A 694 720 71 60,Z 523.103/02,32,29,31,23,24,29,23,24,23,18,30,64
A 694 720 72 60,Z 523.103/02,32,29,31,23,24,29,23,24,23,18,30,64
A 696 684 01 03,Z 523.093/25,32,29,31,23,24,29,23,24,23,18,30,64
A 696 684 70 60,Z 523.093/25,32,29,31,23,24,29,23,24,23,18,30,64
A 696 684 71 60,Z 523.093/25,32,29,31,23,24,29,23,24,23,18,30,64
A 958 680 00 05,Z 536.230/67,165,167,187,196,199,185,199,198,195,218,163,128
A 958 680 01 05,Z 536.230/68,36,34,40,43,41,36,41,40,37,41,32,15
A 958 680 02 05,Z 536.230/69,144,209,204,203,203,203,214,212,213,201,169,98
A 958 680 04 05,Z 536.230/75,233,318,305,324,321,307,337,326,331,336,278,138
A 958 680 05 05,Z 536.230/76,452,509,449,492,536,464,529,513,516,554,458,279
A 958 680 07 05,Z 536.230/75,233,318,305,324,321,307,337,326,331,336,278,138
A 958 680 08 05,Z 536.230/75,233,318,305,324,321,307,337,326,331,336,278,138
A 958 680 08 05,Z 536.230/76,452,509,449,492,536,464,529,513,516,554,458,279
A 958 680 14 05,Z 536.230/81,4,1,3,5,3,2,3,3,2,4,2,1
A 958 680 15 05,Z 536.230/82,81,98,94,110,111,95,114,106,110,127,101,35
A 958 680 18 05,Z 538.534/14,1140,1290,1241,1376,1443,1241,1433,1373,1371,1537,1223,617
A 958 680 22 05,Z 536.230/76,452,509,449,492,536,464,529,513,516,554,458,279
A 958 680 24 05,Z 538.534/19,43,41,57,64,56,41,54,50,46,60,43,5
A 958 680 25 05,Z 538.534/20,363,423,361,399,444,383,440,420,424,464,383,237
A 958 680 27 05,Z 538.534/22,0,0,0,0,0,0,0,0,0,1,0,0
A 958 680 29 05,Z 538.534/24,6,3,5,3,7,5,5,7,4,6,5,1
A 958 680 41 05,Z 538.534/46,192,203,195,215,227,182,213,210,209,238,187,71
A 958 680 42 05,Z 538.534/47,23,24,20,29,34,22,26,27,29,32,24,5
A 958 680 44 05,Z 538.534/50,10,11,14,16,13,10,14,14,14,15,13,4
A 958 680 46 05,Z 538.534/52,101,116,115,129,136,107,133,125,129,149,116,31
A 958 680 47 05,Z 538.534/49,91,105,101,113,123,97,119,111,115,134,103,27
A 958 680 60 03,Z 536.230/41,101,116,115,129,136,107,133,125,129,149,116,31
A 958 680 60 03,Z 538.534/13,1305,1499,1443,1575,1634,1432,1632,1581,1582,1717,1372,713
A 958 680 64 03,Z 536.230/41,101,116,115,129,136,107,133,125,129,149,116,31
A 958 680 64 03,Z 538.534/15,165,209,202,199,191,191,199,208,211,180,149,96
A 958 680 71 03,Z 536.230/45,0,0,0,1,0,1,1,0,1,0,0,0
A 958 680 80 03,Z 536.230/49,0,0,0,1,2,3,4,2,4,1,0,1
A 958 680 93 03,Z 536.230/73,89,86,88,93,92,81,89,93,92,90,75,42
A 958 680 98 03,Z 536.230/72,5,4,2,3,3,4,3,4,2,3,3,1
A 958 684 02 03,Z 538.539/01,603,673,623,700,740,625,726,699,703,777,629,325
A 958 684 03 03,Z 538.539/02,101,116,115,129,136,107,133,125,129,149,116,31
