,Part Number,Quantity,BZA,DA,W,EHM,Baumuster,BU,Family,QVV,Component Number,KG,ANZ,Grouping,Component BU,Component Family,Jan/2019,Feb/2019,Mar/2019,Apr/2019,May/2019,Jun/2019,Jul/2019,Aug/2019,Sep/2019,Oct/2019,Nov/2019,Dec/2019,sum
1920069,A 694 684 77 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1920070,A 694 684 77 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1920071,A 694 684 78 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1920072,A 694 684 78 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1920073,A 694 684 83 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1920074,A 694 684 83 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1920133,A 694 720 71 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.103/02,S72,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1920134,A 694 720 71 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.103/02,S72,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1920139,A 694 720 72 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.103/02,S72,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1920140,A 694 720 72 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.103/02,S72,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1983639,A 696 684 01 03,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1983640,A 696 684 01 03,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1983641,A 696 684 70 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1983642,A 696 684 70 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
1983645,A 696 684 71 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350292T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,31,27,30,23,24,28,21,23,23,18,29,62,339
1983646,A 696 684 71 60,1.0,U7,,,1,C695053,Truck,Atron,QVV16350295T,Z 523.093/25,S68,1,Aggr SAA D696811,Cabin,,1,2,1,0,0,1,2,1,0,0,1,2,11
3145786,A 958 680 00 05,1.0,U7,,,1,C958074,Truck,Atego,QVV17251828T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,1,1,1,1,2,1,1,1,1,11
3145787,A 958 680 00 05,1.0,U7,,,1,C958074,Truck,Atego,QVV17251847T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,1,0,0,1,0,0,0,0,1,3
3145788,A 958 680 00 05,1.0,U7,,,1,C958074,Truck,Atego,QVV17251862T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,4,3,4,3,3,0,3,0,4,0,5,30
3145789,A 958 680 00 05,1.0,U7,,,1,C958074,Truck,Atego,QVV17251880T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,1,0,0,1,1,1,1,1,1,1,0,8
3145790,A 958 680 00 05,1.0,U7,,,1,C958076,Truck,Atego,QVV17251852T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,2,1,3,2,3,1,2,1,2,18
3145791,A 958 680 00 05,1.0,U7,,,1,C958076,Truck,Atego,QVV17251885T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,1,0,1,0,1,0,0,3
3145792,A 958 680 00 05,1.0,U7,,,1,C958076,Truck,Atego,QVV17251887T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,1,0,1,0,0,0,0,1,1,5
3145793,A 958 680 00 05,1.0,U7,,,1,C958076,Truck,Atego,QVV17251888T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,1,1,0,1,1,1,0,0,5
3145794,A 958 680 00 05,1.0,U7,,,1,C958077,Truck,Atego,QVV17263849T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,3,0,0,0,0,0,0,0,0,0,0,5
3145795,A 958 680 00 05,1.0,U7,,,1,C958077,Truck,Atego,QVV17263864T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,2,3,3,2,2,2,2,3,1,2,22
3145796,A 958 680 00 05,1.0,U7,,,1,C958077,Truck,Atego,QVV17280164T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,0,0,0,1,0,0,1
3145797,A 958 680 00 05,1.0,U7,,,1,C958078,Truck,Atego,QVV17264040T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,6,0,0,0,0,0,0,0,0,0,6
3145798,A 958 680 00 05,1.0,U7,,,1,C958096,Truck,Atego,QVV24254297T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,1,1,1,1,1,1,1,0,1,8
3145799,A 958 680 00 05,1.0,U7,,,1,C958096,Truck,Atego,QVV24281212T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,1,1,1,1,1,1,0,0,6
3145800,A 958 680 00 05,1.0,U7,,,1,C958150,Truck,Atego,QVV17263770T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,1,1,0,0,1,1,0,0,1,5
3145801,A 958 680 00 05,1.0,U7,,,1,C958150,Truck,Atego,QVV17263957T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,1,0,0,1,0,0,0,0,0,2
3145802,A 958 680 00 05,1.0,U7,,,1,C958150,Truck,Atego,QVV17263986T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,1,0,0,0,1,0,0,2
3145803,A 958 680 00 05,1.0,U7,,,1,C958150,Truck,Atego,QVV17264043T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,0,0,0,0,0,0,0,0,0,0,0,2
3145804,A 958 680 00 05,1.0,U7,,,1,C958152,Truck,Atego,QVV17263605T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,3,5,0,0,0,0,0,0,0,0,0,0,8
3145805,A 958 680 00 05,1.0,U7,,,1,C958152,Truck,Atego,QVV17263790CTT,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,1,0,0,0,1,0,0,2
3145806,A 958 680 00 05,1.0,U7,,,1,C958152,Truck,Atego,QVV17263873T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,2,5,4,5,4,5,4,4,3,4,40
3145807,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263598T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,12,12,13,12,13,13,14,12,13,12,12,140
3145808,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263618T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,4,0,0,0,0,0,0,0,0,0,0,6
3145809,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263692T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,5,6,0,0,0,0,0,0,0,0,0,0,11
3145810,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263755T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,2,2,2,2,1,3,2,2,3,2,0,22
3145811,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263756T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,7,7,7,7,9,7,7,6,10,8,7,1,83
3145812,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263757T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,0,0,0,0,0,0,0,0,1,0,0,2
3145813,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263758T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,1,1,0,0,0,0,2
3145814,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263826T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,1,0,1,0,0,1,2,0,1,1,0,7
3145815,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263876T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,2,6,7,6,6,7,6,6,5,6,57
3145816,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263877T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,2,0,0,1,0,1,1,1,0,1,0,0,7
3145817,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263882T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,1,0,1,0,1,1,0,0,1,0,0,1,6
3145818,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263884T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,4,3,3,4,3,3,3,2,3,29
3145819,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263901T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,0,0,1,0,0,0,1
3145820,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263958T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,0,0,1,1,0,1,3
3145821,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263998T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,0,0,0,0,0,0,1,0,0,0,1
3145822,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17263999T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,1,1,0,0,1,0,0,0,0,4
3145823,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17264036T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,0,0,1,0,1,1,0,0,0,0,0,0,3
3145824,A 958 680 00 05,1.0,U7,,,1,C958154,Truck,Atego,QVV17290479T,Z 536.230/67,S681,1,Aggregate SAA D958860,Cabin,,10,5,0,0,0,0,0,0,0,0,0,0,15
